A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,scenario,policy,model
47,140.10190307635932,1.5,0.8635264587894567,195.58154723160237,10.0,0.4479074816689457,239.54913453171176,1.0,0.536079119988561,203.6161034306911,1.5,0.8659238488406693,194.44432908151654,10.0,0.5593593717536728,1.5,3.5,1.5,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,2,0,0,2,8,8,4,4,5,7,7,3,2,8,2,scenario 0 option 7,dikesnet
130,279.79448013595754,1.0,0.9671956656189549,345.81413790418947,1.5,0.3175017714820939,282.42307858705954,10.0,0.2275760418241854,59.78465165682564,1.5,0.5909470329090871,55.794464206877734,1.0,0.5119089813657947,3.5,1.5,4.5,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,2,0,0,2,8,8,4,4,5,7,7,3,2,8,3,scenario 0 option 7,dikesnet
12,70.40686650962868,10.0,0.37085146669647384,301.46336476437216,10.0,0.4202347716233848,93.61034873196716,10.0,0.0068392657372814535,216.6970375131461,1.0,0.30652062063465685,247.50820628152343,1.0,0.24986376115573533,3.5,1.5,3.5,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,2,0,0,2,8,8,4,4,5,7,7,3,2,8,4,scenario 0 option 7,dikesnet
69,337.7389907276223,1.0,0.519507022796438,97.45288427216875,1.0,0.8659367361633257,256.255750944767,1.0,0.7558556994254165,276.2787401596204,1.0,0.716317226678097,88.05689659907785,1.5,0.1657834299728692,3.5,3.5,1.5,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,2,0,0,2,8,8,4,4,5,7,7,3,2,8,5,scenario 0 option 7,dikesnet
81,130.5199077919203,1.5,0.21691115071765077,266.02206367863437,1.0,0.9348112396958671,339.01351960278254,1.0,0.8297698264566353,327.8189301931115,10.0,0.09278135744045395,283.36404301854554,1.0,0.03328434001142784,1.5,2.5,2.5,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,2,0,0,2,8,8,4,4,5,7,7,3,2,8,6,scenario 0 option 7,dikesnet
95,242.2896241926675,10.0,0.3130143150428113,115.84947162809677,10.0,0.10266235686190482,152.8432480650288,1.5,0.1963170991615602,300.51125727225553,1.5,0.41953111715211644,322.2911267577496,1.5,0.6703066390258129,2.5,2.5,2.5,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,2,0,0,2,8,8,4,4,5,7,7,3,2,8,7,scenario 0 option 7,dikesnet
115,254.87631945958753,1.0,0.64696518668746,210.69503476315697,1.5,0.7483250175546734,103.2602096427987,10.0,0.5860249829674307,151.29217370599926,10.0,0.20693847955465988,125.69202266580191,10.0,0.43066536278836404,4.5,4.5,4.5,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,2,0,0,2,8,8,4,4,5,7,7,3,2,8,8,scenario 0 option 7,dikesnet
32,56.24429946232223,10.0,0.07605703994219683,162.1921751851073,1.0,0.11700259501516912,49.52010863349604,1.5,0.37243447173556826,90.50770675802146,1.0,0.4936290147573076,159.17236853572996,10.0,0.8256518333894398,2.5,1.5,3.5,2,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,9,1,9,7,1,9,0,7,9,10,9,8,9,8,0,scenario 0 option 8,dikesnet
17,189.27711820453024,1.5,0.6756884581074284,54.96774976874614,1.5,0.6484894654469698,176.77844070441995,1.5,0.9485148150405299,109.55010530947247,10.0,0.9020142827043737,230.32186636926383,1.5,0.9205325678804929,4.5,4.5,2.5,2,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,9,1,9,7,1,9,0,7,9,10,9,8,9,8,1,scenario 0 option 8,dikesnet
47,140.10190307635932,1.5,0.8635264587894567,195.58154723160237,10.0,0.4479074816689457,239.54913453171176,1.0,0.536079119988561,203.6161034306911,1.5,0.8659238488406693,194.44432908151654,10.0,0.5593593717536728,1.5,3.5,1.5,2,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,9,1,9,7,1,9,0,7,9,10,9,8,9,8,2,scenario 0 option 8,dikesnet
130,279.79448013595754,1.0,0.9671956656189549,345.81413790418947,1.5,0.3175017714820939,282.42307858705954,10.0,0.2275760418241854,59.78465165682564,1.5,0.5909470329090871,55.794464206877734,1.0,0.5119089813657947,3.5,1.5,4.5,2,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,9,1,9,7,1,9,0,7,9,10,9,8,9,8,3,scenario 0 option 8,dikesnet
12,70.40686650962868,10.0,0.37085146669647384,301.46336476437216,10.0,0.4202347716233848,93.61034873196716,10.0,0.0068392657372814535,216.6970375131461,1.0,0.30652062063465685,247.50820628152343,1.0,0.24986376115573533,3.5,1.5,3.5,2,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,9,1,9,7,1,9,0,7,9,10,9,8,9,8,4,scenario 0 option 8,dikesnet
69,337.7389907276223,1.0,0.519507022796438,97.45288427216875,1.0,0.8659367361633257,256.255750944767,1.0,0.7558556994254165,276.2787401596204,1.0,0.716317226678097,88.05689659907785,1.5,0.1657834299728692,3.5,3.5,1.5,2,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,9,1,9,7,1,9,0,7,9,10,9,8,9,8,5,scenario 0 option 8,dikesnet
81,130.5199077919203,1.5,0.21691115071765077,266.02206367863437,1.0,0.9348112396958671,339.01351960278254,1.0,0.8297698264566353,327.8189301931115,10.0,0.09278135744045395,283.36404301854554,1.0,0.03328434001142784,1.5,2.5,2.5,2,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,9,1,9,7,1,9,0,7,9,10,9,8,9,8,6,scenario 0 option 8,dikesnet
95,242.2896241926675,10.0,0.3130143150428113,115.84947162809677,10.0,0.10266235686190482,152.8432480650288,1.5,0.1963170991615602,300.51125727225553,1.5,0.41953111715211644,322.2911267577496,1.5,0.6703066390258129,2.5,2.5,2.5,2,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,9,1,9,7,1,9,0,7,9,10,9,8,9,8,7,scenario 0 option 8,dikesnet
115,254.87631945958753,1.0,0.64696518668746,210.69503476315697,1.5,0.7483250175546734,103.2602096427987,10.0,0.5860249829674307,151.29217370599926,10.0,0.20693847955465988,125.69202266580191,10.0,0.43066536278836404,4.5,4.5,4.5,2,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,9,1,9,7,1,9,0,7,9,10,9,8,9,8,8,scenario 0 option 8,dikesnet
32,56.24429946232223,10.0,0.07605703994219683,162.1921751851073,1.0,0.11700259501516912,49.52010863349604,1.5,0.37243447173556826,90.50770675802146,1.0,0.4936290147573076,159.17236853572996,10.0,0.8256518333894398,2.5,1.5,3.5,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,2,4,10,3,5,10,6,3,0,2,7,8,1,8,3,0,scenario 0 option 9,dikesnet
17,189.27711820453024,1.5,0.6756884581074284,54.96774976874614,1.5,0.6484894654469698,176.77844070441995,1.5,0.9485148150405299,109.55010530947247,10.0,0.9020142827043737,230.32186636926383,1.5,0.9205325678804929,4.5,4.5,2.5,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,2,4,10,3,5,10,6,3,0,2,7,8,1,8,3,1,scenario 0 option 9,dikesnet
47,140.10190307635932,1.5,0.8635264587894567,195.58154723160237,10.0,0.4479074816689457,239.54913453171176,1.0,0.536079119988561,203.6161034306911,1.5,0.8659238488406693,194.44432908151654,10.0,0.5593593717536728,1.5,3.5,1.5,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,2,4,10,3,5,10,6,3,0,2,7,8,1,8,3,2,scenario 0 option 9,dikesnet
130,279.79448013595754,1.0,0.9671956656189549,345.81413790418947,1.5,0.3175017714820939,282.42307858705954,10.0,0.2275760418241854,59.78465165682564,1.5,0.5909470329090871,55.794464206877734,1.0,0.5119089813657947,3.5,1.5,4.5,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,2,4,10,3,5,10,6,3,0,2,7,8,1,8,3,3,scenario 0 option 9,dikesnet
12,70.40686650962868,10.0,0.37085146669647384,301.46336476437216,10.0,0.4202347716233848,93.61034873196716,10.0,0.0068392657372814535,216.6970375131461,1.0,0.30652062063465685,247.50820628152343,1.0,0.24986376115573533,3.5,1.5,3.5,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,2,4,10,3,5,10,6,3,0,2,7,8,1,8,3,4,scenario 0 option 9,dikesnet
69,337.7389907276223,1.0,0.519507022796438,97.45288427216875,1.0,0.8659367361633257,256.255750944767,1.0,0.7558556994254165,276.2787401596204,1.0,0.716317226678097,88.05689659907785,1.5,0.1657834299728692,3.5,3.5,1.5,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,2,4,10,3,5,10,6,3,0,2,7,8,1,8,3,5,scenario 0 option 9,dikesnet
81,130.5199077919203,1.5,0.21691115071765077,266.02206367863437,1.0,0.9348112396958671,339.01351960278254,1.0,0.8297698264566353,327.8189301931115,10.0,0.09278135744045395,283.36404301854554,1.0,0.03328434001142784,1.5,2.5,2.5,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,2,4,10,3,5,10,6,3,0,2,7,8,1,8,3,6,scenario 0 option 9,dikesnet
95,242.2896241926675,10.0,0.3130143150428113,115.84947162809677,10.0,0.10266235686190482,152.8432480650288,1.5,0.1963170991615602,300.51125727225553,1.5,0.41953111715211644,322.2911267577496,1.5,0.6703066390258129,2.5,2.5,2.5,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,2,4,10,3,5,10,6,3,0,2,7,8,1,8,3,7,scenario 0 option 9,dikesnet
115,254.87631945958753,1.0,0.64696518668746,210.69503476315697,1.5,0.7483250175546734,103.2602096427987,10.0,0.5860249829674307,151.29217370599926,10.0,0.20693847955465988,125.69202266580191,10.0,0.43066536278836404,4.5,4.5,4.5,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,2,4,10,3,5,10,6,3,0,2,7,8,1,8,3,8,scenario 0 option 9,dikesnet
32,56.24429946232223,10.0,0.07605703994219683,162.1921751851073,1.0,0.11700259501516912,49.52010863349604,1.5,0.37243447173556826,90.50770675802146,1.0,0.4936290147573076,159.17236853572996,10.0,0.8256518333894398,2.5,1.5,3.5,2,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,4,5,2,9,3,3,10,0,3,10,2,9,8,8,6,0,scenario 0 option 10,dikesnet
17,189.27711820453024,1.5,0.6756884581074284,54.96774976874614,1.5,0.6484894654469698,176.77844070441995,1.5,0.9485148150405299,109.55010530947247,10.0,0.9020142827043737,230.32186636926383,1.5,0.9205325678804929,4.5,4.5,2.5,2,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,4,5,2,9,3,3,10,0,3,10,2,9,8,8,6,1,scenario 0 option 10,dikesnet
47,140.10190307635932,1.5,0.8635264587894567,195.58154723160237,10.0,0.4479074816689457,239.54913453171176,1.0,0.536079119988561,203.6161034306911,1.5,0.8659238488406693,194.44432908151654,10.0,0.5593593717536728,1.5,3.5,1.5,2,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,4,5,2,9,3,3,10,0,3,10,2,9,8,8,6,2,scenario 0 option 10,dikesnet
130,279.79448013595754,1.0,0.9671956656189549,345.81413790418947,1.5,0.3175017714820939,282.42307858705954,10.0,0.2275760418241854,59.78465165682564,1.5,0.5909470329090871,55.794464206877734,1.0,0.5119089813657947,3.5,1.5,4.5,2,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,4,5,2,9,3,3,10,0,3,10,2,9,8,8,6,3,scenario 0 option 10,dikesnet
12,70.40686650962868,10.0,0.37085146669647384,301.46336476437216,10.0,0.4202347716233848,93.61034873196716,10.0,0.0068392657372814535,216.6970375131461,1.0,0.30652062063465685,247.50820628152343,1.0,0.24986376115573533,3.5,1.5,3.5,2,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,4,5,2,9,3,3,10,0,3,10,2,9,8,8,6,4,scenario 0 option 10,dikesnet
69,337.7389907276223,1.0,0.519507022796438,97.45288427216875,1.0,0.8659367361633257,256.255750944767,1.0,0.7558556994254165,276.2787401596204,1.0,0.716317226678097,88.05689659907785,1.5,0.1657834299728692,3.5,3.5,1.5,2,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,4,5,2,9,3,3,10,0,3,10,2,9,8,8,6,5,scenario 0 option 10,dikesnet
81,130.5199077919203,1.5,0.21691115071765077,266.02206367863437,1.0,0.9348112396958671,339.01351960278254,1.0,0.8297698264566353,327.8189301931115,10.0,0.09278135744045395,283.36404301854554,1.0,0.03328434001142784,1.5,2.5,2.5,2,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,4,5,2,9,3,3,10,0,3,10,2,9,8,8,6,6,scenario 0 option 10,dikesnet
95,242.2896241926675,10.0,0.3130143150428113,115.84947162809677,10.0,0.10266235686190482,152.8432480650288,1.5,0.1963170991615602,300.51125727225553,1.5,0.41953111715211644,322.2911267577496,1.5,0.6703066390258129,2.5,2.5,2.5,2,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,4,5,2,9,3,3,10,0,3,10,2,9,8,8,6,7,scenario 0 option 10,dikesnet
115,254.87631945958753,1.0,0.64696518668746,210.69503476315697,1.5,0.7483250175546734,103.2602096427987,10.0,0.5860249829674307,151.29217370599926,10.0,0.20693847955465988,125.69202266580191,10.0,0.43066536278836404,4.5,4.5,4.5,2,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,4,5,2,9,3,3,10,0,3,10,2,9,8,8,6,8,scenario 0 option 10,dikesnet
32,56.24429946232223,10.0,0.07605703994219683,162.1921751851073,1.0,0.11700259501516912,49.52010863349604,1.5,0.37243447173556826,90.50770675802146,1.0,0.4936290147573076,159.17236853572996,10.0,0.8256518333894398,2.5,1.5,3.5,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,5,5,3,10,4,10,1,0,8,3,8,0,8,0,0,scenario 0 option 11,dikesnet
17,189.27711820453024,1.5,0.6756884581074284,54.96774976874614,1.5,0.6484894654469698,176.77844070441995,1.5,0.9485148150405299,109.55010530947247,10.0,0.9020142827043737,230.32186636926383,1.5,0.9205325678804929,4.5,4.5,2.5,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,5,5,3,10,4,10,1,0,8,3,8,0,8,0,1,scenario 0 option 11,dikesnet
47,140.10190307635932,1.5,0.8635264587894567,195.58154723160237,10.0,0.4479074816689457,239.54913453171176,1.0,0.536079119988561,203.6161034306911,1.5,0.8659238488406693,194.44432908151654,10.0,0.5593593717536728,1.5,3.5,1.5,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,5,5,3,10,4,10,1,0,8,3,8,0,8,0,2,scenario 0 option 11,dikesnet
130,279.79448013595754,1.0,0.9671956656189549,345.81413790418947,1.5,0.3175017714820939,282.42307858705954,10.0,0.2275760418241854,59.78465165682564,1.5,0.5909470329090871,55.794464206877734,1.0,0.5119089813657947,3.5,1.5,4.5,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,5,5,3,10,4,10,1,0,8,3,8,0,8,0,3,scenario 0 option 11,dikesnet
12,70.40686650962868,10.0,0.37085146669647384,301.46336476437216,10.0,0.4202347716233848,93.61034873196716,10.0,0.0068392657372814535,216.6970375131461,1.0,0.30652062063465685,247.50820628152343,1.0,0.24986376115573533,3.5,1.5,3.5,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,5,5,3,10,4,10,1,0,8,3,8,0,8,0,4,scenario 0 option 11,dikesnet
69,337.7389907276223,1.0,0.519507022796438,97.45288427216875,1.0,0.8659367361633257,256.255750944767,1.0,0.7558556994254165,276.2787401596204,1.0,0.716317226678097,88.05689659907785,1.5,0.1657834299728692,3.5,3.5,1.5,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,5,5,3,10,4,10,1,0,8,3,8,0,8,0,5,scenario 0 option 11,dikesnet
81,130.5199077919203,1.5,0.21691115071765077,266.02206367863437,1.0,0.9348112396958671,339.01351960278254,1.0,0.8297698264566353,327.8189301931115,10.0,0.09278135744045395,283.36404301854554,1.0,0.03328434001142784,1.5,2.5,2.5,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,5,5,3,10,4,10,1,0,8,3,8,0,8,0,6,scenario 0 option 11,dikesnet
95,242.2896241926675,10.0,0.3130143150428113,115.84947162809677,10.0,0.10266235686190482,152.8432480650288,1.5,0.1963170991615602,300.51125727225553,1.5,0.41953111715211644,322.2911267577496,1.5,0.6703066390258129,2.5,2.5,2.5,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,5,5,3,10,4,10,1,0,8,3,8,0,8,0,7,scenario 0 option 11,dikesnet
115,254.87631945958753,1.0,0.64696518668746,210.69503476315697,1.5,0.7483250175546734,103.2602096427987,10.0,0.5860249829674307,151.29217370599926,10.0,0.20693847955465988,125.69202266580191,10.0,0.43066536278836404,4.5,4.5,4.5,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,5,5,3,10,4,10,1,0,8,3,8,0,8,0,8,scenario 0 option 11,dikesnet
32,56.24429946232223,10.0,0.07605703994219683,162.1921751851073,1.0,0.11700259501516912,49.52010863349604,1.5,0.37243447173556826,90.50770675802146,1.0,0.4936290147573076,159.17236853572996,10.0,0.8256518333894398,2.5,1.5,3.5,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,3,1,4,10,0,1,9,3,8,5,0,9,9,7,0,0,scenario 0 option 12,dikesnet
17,189.27711820453024,1.5,0.6756884581074284,54.96774976874614,1.5,0.6484894654469698,176.77844070441995,1.5,0.9485148150405299,109.55010530947247,10.0,0.9020142827043737,230.32186636926383,1.5,0.9205325678804929,4.5,4.5,2.5,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,3,1,4,10,0,1,9,3,8,5,0,9,9,7,0,1,scenario 0 option 12,dikesnet
47,140.10190307635932,1.5,0.8635264587894567,195.58154723160237,10.0,0.4479074816689457,239.54913453171176,1.0,0.536079119988561,203.6161034306911,1.5,0.8659238488406693,194.44432908151654,10.0,0.5593593717536728,1.5,3.5,1.5,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,3,1,4,10,0,1,9,3,8,5,0,9,9,7,0,2,scenario 0 option 12,dikesnet
130,279.79448013595754,1.0,0.9671956656189549,345.81413790418947,1.5,0.3175017714820939,282.42307858705954,10.0,0.2275760418241854,59.78465165682564,1.5,0.5909470329090871,55.794464206877734,1.0,0.5119089813657947,3.5,1.5,4.5,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,3,1,4,10,0,1,9,3,8,5,0,9,9,7,0,3,scenario 0 option 12,dikesnet
12,70.40686650962868,10.0,0.37085146669647384,301.46336476437216,10.0,0.4202347716233848,93.61034873196716,10.0,0.0068392657372814535,216.6970375131461,1.0,0.30652062063465685,247.50820628152343,1.0,0.24986376115573533,3.5,1.5,3.5,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,3,1,4,10,0,1,9,3,8,5,0,9,9,7,0,4,scenario 0 option 12,dikesnet
69,337.7389907276223,1.0,0.519507022796438,97.45288427216875,1.0,0.8659367361633257,256.255750944767,1.0,0.7558556994254165,276.2787401596204,1.0,0.716317226678097,88.05689659907785,1.5,0.1657834299728692,3.5,3.5,1.5,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,3,1,4,10,0,1,9,3,8,5,0,9,9,7,0,5,scenario 0 option 12,dikesnet
81,130.5199077919203,1.5,0.21691115071765077,266.02206367863437,1.0,0.9348112396958671,339.01351960278254,1.0,0.8297698264566353,327.8189301931115,10.0,0.09278135744045395,283.36404301854554,1.0,0.03328434001142784,1.5,2.5,2.5,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,3,1,4,10,0,1,9,3,8,5,0,9,9,7,0,6,scenario 0 option 12,dikesnet
95,242.2896241926675,10.0,0.3130143150428113,115.84947162809677,10.0,0.10266235686190482,152.8432480650288,1.5,0.1963170991615602,300.51125727225553,1.5,0.41953111715211644,322.2911267577496,1.5,0.6703066390258129,2.5,2.5,2.5,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,3,1,4,10,0,1,9,3,8,5,0,9,9,7,0,7,scenario 0 option 12,dikesnet
115,254.87631945958753,1.0,0.64696518668746,210.69503476315697,1.5,0.7483250175546734,103.2602096427987,10.0,0.5860249829674307,151.29217370599926,10.0,0.20693847955465988,125.69202266580191,10.0,0.43066536278836404,4.5,4.5,4.5,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,3,1,4,10,0,1,9,3,8,5,0,9,9,7,0,8,scenario 0 option 12,dikesnet
32,56.24429946232223,10.0,0.07605703994219683,162.1921751851073,1.0,0.11700259501516912,49.52010863349604,1.5,0.37243447173556826,90.50770675802146,1.0,0.4936290147573076,159.17236853572996,10.0,0.8256518333894398,2.5,1.5,3.5,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,8,7,8,6,2,1,0,3,1,2,8,5,2,7,4,0,scenario 0 option 13,dikesnet
17,189.27711820453024,1.5,0.6756884581074284,54.96774976874614,1.5,0.6484894654469698,176.77844070441995,1.5,0.9485148150405299,109.55010530947247,10.0,0.9020142827043737,230.32186636926383,1.5,0.9205325678804929,4.5,4.5,2.5,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,8,7,8,6,2,1,0,3,1,2,8,5,2,7,4,1,scenario 0 option 13,dikesnet
47,140.10190307635932,1.5,0.8635264587894567,195.58154723160237,10.0,0.4479074816689457,239.54913453171176,1.0,0.536079119988561,203.6161034306911,1.5,0.8659238488406693,194.44432908151654,10.0,0.5593593717536728,1.5,3.5,1.5,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,8,7,8,6,2,1,0,3,1,2,8,5,2,7,4,2,scenario 0 option 13,dikesnet
130,279.79448013595754,1.0,0.9671956656189549,345.81413790418947,1.5,0.3175017714820939,282.42307858705954,10.0,0.2275760418241854,59.78465165682564,1.5,0.5909470329090871,55.794464206877734,1.0,0.5119089813657947,3.5,1.5,4.5,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,8,7,8,6,2,1,0,3,1,2,8,5,2,7,4,3,scenario 0 option 13,dikesnet
12,70.40686650962868,10.0,0.37085146669647384,301.46336476437216,10.0,0.4202347716233848,93.61034873196716,10.0,0.0068392657372814535,216.6970375131461,1.0,0.30652062063465685,247.50820628152343,1.0,0.24986376115573533,3.5,1.5,3.5,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,8,7,8,6,2,1,0,3,1,2,8,5,2,7,4,4,scenario 0 option 13,dikesnet
69,337.7389907276223,1.0,0.519507022796438,97.45288427216875,1.0,0.8659367361633257,256.255750944767,1.0,0.7558556994254165,276.2787401596204,1.0,0.716317226678097,88.05689659907785,1.5,0.1657834299728692,3.5,3.5,1.5,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,8,7,8,6,2,1,0,3,1,2,8,5,2,7,4,5,scenario 0 option 13,dikesnet
81,130.5199077919203,1.5,0.21691115071765077,266.02206367863437,1.0,0.9348112396958671,339.01351960278254,1.0,0.8297698264566353,327.8189301931115,10.0,0.09278135744045395,283.36404301854554,1.0,0.03328434001142784,1.5,2.5,2.5,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,8,7,8,6,2,1,0,3,1,2,8,5,2,7,4,6,scenario 0 option 13,dikesnet
95,242.2896241926675,10.0,0.3130143150428113,115.84947162809677,10.0,0.10266235686190482,152.8432480650288,1.5,0.1963170991615602,300.51125727225553,1.5,0.41953111715211644,322.2911267577496,1.5,0.6703066390258129,2.5,2.5,2.5,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,8,7,8,6,2,1,0,3,1,2,8,5,2,7,4,7,scenario 0 option 13,dikesnet
115,254.87631945958753,1.0,0.64696518668746,210.69503476315697,1.5,0.7483250175546734,103.2602096427987,10.0,0.5860249829674307,151.29217370599926,10.0,0.20693847955465988,125.69202266580191,10.0,0.43066536278836404,4.5,4.5,4.5,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,8,7,8,6,2,1,0,3,1,2,8,5,2,7,4,8,scenario 0 option 13,dikesnet
32,56.24429946232223,10.0,0.07605703994219683,162.1921751851073,1.0,0.11700259501516912,49.52010863349604,1.5,0.37243447173556826,90.50770675802146,1.0,0.4936290147573076,159.17236853572996,10.0,0.8256518333894398,2.5,1.5,3.5,3,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,3,1,7,6,4,8,5,3,9,2,8,7,8,7,0,scenario 0 option 14,dikesnet
17,189.27711820453024,1.5,0.6756884581074284,54.96774976874614,1.5,0.6484894654469698,176.77844070441995,1.5,0.9485148150405299,109.55010530947247,10.0,0.9020142827043737,230.32186636926383,1.5,0.9205325678804929,4.5,4.5,2.5,3,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,3,1,7,6,4,8,5,3,9,2,8,7,8,7,1,scenario 0 option 14,dikesnet
47,140.10190307635932,1.5,0.8635264587894567,195.58154723160237,10.0,0.4479074816689457,239.54913453171176,1.0,0.536079119988561,203.6161034306911,1.5,0.8659238488406693,194.44432908151654,10.0,0.5593593717536728,1.5,3.5,1.5,3,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,3,1,7,6,4,8,5,3,9,2,8,7,8,7,2,scenario 0 option 14,dikesnet
130,279.79448013595754,1.0,0.9671956656189549,345.81413790418947,1.5,0.3175017714820939,282.42307858705954,10.0,0.2275760418241854,59.78465165682564,1.5,0.5909470329090871,55.794464206877734,1.0,0.5119089813657947,3.5,1.5,4.5,3,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,3,1,7,6,4,8,5,3,9,2,8,7,8,7,3,scenario 0 option 14,dikesnet
12,70.40686650962868,10.0,0.37085146669647384,301.46336476437216,10.0,0.4202347716233848,93.61034873196716,10.0,0.0068392657372814535,216.6970375131461,1.0,0.30652062063465685,247.50820628152343,1.0,0.24986376115573533,3.5,1.5,3.5,3,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,3,1,7,6,4,8,5,3,9,2,8,7,8,7,4,scenario 0 option 14,dikesnet
69,337.7389907276223,1.0,0.519507022796438,97.45288427216875,1.0,0.8659367361633257,256.255750944767,1.0,0.7558556994254165,276.2787401596204,1.0,0.716317226678097,88.05689659907785,1.5,0.1657834299728692,3.5,3.5,1.5,3,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,3,1,7,6,4,8,5,3,9,2,8,7,8,7,5,scenario 0 option 14,dikesnet
